restaurant_id,name,area,restaurant_type
19300895,Big Pitcher,Sarjapur Road,"Microbrewery, Casual Dining"
18897073,The Big Barbeque,Electronic City,Casual Dining
19275149,BLR Brewing Co.,Electronic City,"Microbrewery, Casual Dining"
18758079,Fire Station,Electronic City,"Pub, Casual Dining"
19109185,Dr. Sheesha 24 Hours Gastro Pub,"The Sahar Pavilion, Electronic City",Pub
58882,Byg Brewski Brewing Company,Sarjapur Road,Microbrewery
19122613,URU Brewpark,JP Nagar,"Microbrewery, Casual Dining"
18422898,Hoot,Sarjapur Road,"Microbrewery, Casual Dining"
18853706,Brahma Brews,JP Nagar,"Microbrewery, Casual Dining"
53144,The Fisherman's Wharf,Sarjapur Road,"Casual Dining, Bar"
19159932,Masala Mandi,Sarjapur Road,Casual Dining
18148977,AB's - Absolute Barbecues,BTM,Casual Dining
52752,Shivaji Military Hotel,Jayanagar,Quick Bites
19326433,Levels,JP Nagar,"Pub, Casual Dining"
18866963,The Globe Grub,BTM,Casual Dining
18811668,Stories - The Brew Chapter,BTM,"Microbrewery, Casual Dining"
51232,Meghana Foods,Jayanagar,Casual Dining
18874059,The Pump House,JP Nagar,Microbrewery
18629607,Sarjapur Social,Sarjapur Road,"Lounge, Casual Dining"
50067,Barbeque Nation,JP Nagar,Casual Dining
18578798,TBC Sky Lounge,HSR,"Bar, Casual Dining"
18889939,46 Ounces Brewgarden,Electronic City,Microbrewery
19193717,Xochi Bar And Kitchen,Bellandur,"Bar, Casual Dining"
19001666,Aurum Brew Works,Sarjapur Road,"Microbrewery, Casual Dining"
54165,Deja Vu Buffet Bar,JP Nagar,"Casual Dining, Bar"
50663,Mavalli Tiffin Room (MTR),Basavanagudi,Quick Bites
18585733,Vapour Brewpub and Diner,Sarjapur Road,"Microbrewery, Casual Dining"
50451,Grasshopper,Bannerghatta Road,Fine Dining
18548293,eat.fit,HSR,
18620895,Gilly's Restobar,Electronic City,"Pub, Casual Dining"
59446,Hakuna Matata,JP Nagar,"Casual Dining, Bar"
18807850,Levitate Brewery and Kitchen,JP Nagar,"Microbrewery, Casual Dining"
18353106,House Of Commons,HSR,Bar
19070883,Stegi - Modern Indian,Jayanagar,Casual Dining
18608512,Al Daaz,HSR,Casual Dining
18676689,Sattvam,JP Nagar,Casual Dining
50456,Gufha - The President Hotel,"The President Hotel, Jayanagar",Casual Dining
19219681,What the Ale?!,Electronic City,"Microbrewery, Casual Dining"
18936536,Whattay Kitchen and Brew,Kanakapura Road,"Microbrewery, Casual Dining"
58576,Taaza Thindi,Jayanagar,Quick Bites
19275633,The Barbecue Kingdom,Electronic City,Casual Dining
19224365,1522 - The Pub,JP Nagar,Pub
18430771,Rural Blues,Sarjapur Road,"Casual Dining, Bar"
51815,Subz,Jayanagar,Casual Dining
18992398,By The Peepal,JP Nagar,"Microbrewery, Casual Dining"
19155882,Fat Owl,JP Nagar,"Bar, Casual Dining"
19066682,Tipsy Bull - The Bar Exchange,JP Nagar,"Bar, Casual Dining"
18512886,Stories,JP Nagar,"Pub, Casual Dining"
50268,Chulha Chauki Da Dhaba,JP Nagar,Casual Dining
51065,Vidyarthi Bhavan,Basavanagudi,Quick Bites
55397,Empire Restaurant,Jayanagar,Casual Dining
18777888,E - City Combos,Electronic City,
18588523,La Casa Brewery And Kitchen,Sarjapur Road,"Microbrewery, Casual Dining"
18503723,Onesta,HSR,"Casual Dining, Café"
19228624,Habit@,Bellandur,"Bar, Casual Dining"
18576435,Shift,HSR,"Lounge, Casual Dining"
18614959,OPUS Club,"OPUS, Sarjapur Road",Pub
52506,Spice It - Ibis Bengaluru,"Ibis Bengaluru, Marathahalli",Casual Dining
18414353,Broadway - The Gourmet Theatre,HSR,"Casual Dining, Bar"
19274705,Express by ABs,BTM,
19043701,Brother Barley Brewing Company,HSR,"Microbrewery, Casual Dining"
18567490,Chili's American Grill & Bar,Bellandur,"Casual Dining, Bar"
18467761,Go Native,Jayanagar,Casual Dining
18684830,The Hidden Home,Sarjapur Road,Casual Dining
19231478,Waffle Cart,BTM,Dessert Parlor
18658885,The Punjabi Rasoi,Sarjapur Road,Casual Dining
52848,Village - The Soul of India,"Bangalore Central, JP Nagar",Casual Dining
19255837,Millennials,JP Nagar,"Bar, Casual Dining"
52098,Brahmin's Coffee Bar,Basavanagudi,Quick Bites
58786,Kesariya,JP Nagar,Casual Dining
18895688,Indigo X II P,HSR,Pub
51811,Ranganna Military Hotel,Jayanagar,Quick Bites
19189216,Basil Bistro,HSR,Casual Dining
18903445,Hammered,HSR,"Bar, Casual Dining"
18809099,Tea Villa Cafe,Jayanagar,Café
